# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,canard,0,PMUWOESUZS,0,0,1,9.993908270190957621e-01, 0.000000000000000000e+00, -3.489949670250096919e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.489949670250096919e-02, 0.000000000000000000e+00, 9.993908270190957621e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.799999999999998934e-01, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,20,41
# x,y,z,u,w
1.799175182542780971e-02, 1.326315789473683671e+00, -1.463467755987648243e-02, 1.105263157894736725e+00, 1.928052851150206637e+00
5.265521285575184597e-03, 1.326315789473683671e+00, -8.770089147644020283e-03, 1.105263157894736725e+00, 1.966968647865119824e+00
0.000000000000000000e+00, 1.326315789473683671e+00, 0.000000000000000000e+00, 1.105263157894736725e+00, 2.000000000000000000e+00
3.306044570409138496e-03, 1.326315789473683671e+00, 1.004857548850034837e-02, 1.105263157894736725e+00, 2.033031352134880176e+00
1.367203495841962969e-02, 1.326315789473683893e+00, 1.980068138930467236e-02, 1.105263157894736725e+00, 2.071947148849793585e+00
3.058791396312634039e-02, 1.326315789473683671e+00, 2.830639488645376317e-02, 1.105263157894736725e+00, 2.123493021002191394e+00
5.425958868360316462e-02, 1.326315789473683671e+00, 3.536134678849405660e-02, 1.105263157894736725e+00, 2.190697740912981306e+00
8.529003990552266878e-02, 1.326315789473683671e+00, 4.115330269787775136e-02, 1.105263157894736725e+00, 2.276535875536843889e+00
1.243211398856431671e-01, 1.326315789473683671e+00, 4.563051035936360050e-02, 1.105263157894736725e+00, 2.383341182670537073e+00
1.715454485147410446e-01, 1.326315789473683671e+00, 4.876381910648056039e-02, 1.105263157894736725e+00, 2.511989859081243281e+00
2.263629425568191855e-01, 1.326315789473683671e+00, 5.021794223217082576e-02, 1.105263157894736725e+00, 2.661025311164463503e+00
2.870924602525722347e-01, 1.326315789473683671e+00, 4.947116993475732249e-02, 1.105263157894736725e+00, 2.826077994344449174e+00
3.510078129846302963e-01, 1.326315789473683671e+00, 4.612271343820674441e-02, 1.105263157894736725e+00, 3.000000000000000000e+00
4.147027003140097423e-01, 1.326315789473683449e+00, 3.978228421631232331e-02, 1.105263157894736725e+00, 3.173922005655550826e+00
4.747461614098533178e-01, 1.326315789473683671e+00, 3.053195319576446770e-02, 1.105263157894736725e+00, 3.338974688835536497e+00
5.285410115993500746e-01, 1.326315789473683671e+00, 1.974823934975410492e-02, 1.105263157894736725e+00, 3.488010140918756719e+00
5.746737224472304728e-01, 1.326315789473683671e+00, 9.013560402038937186e-03, 1.105263157894736725e+00, 3.616658817329462927e+00
6.127999692046171010e-01, 1.326315789473683671e+00, -6.235270351565595434e-04, 1.105263157894736725e+00, 3.723464124463156111e+00
6.433334286231101595e-01, 1.326315789473683671e+00, -8.789955562096702854e-03, 1.105263157894736725e+00, 3.809302259087018250e+00
