# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,BORGeom,0,OUXXXGHFZS,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,33,37
# x,y,z,u,w
3.965608026664257935e-01, 5.155728312784427919e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.192850209613155021e+00
3.044714685056293391e-01, 4.999000841112786336e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.373679072820814140e+00
2.231885422780415795e-01, 5.123840372539513466e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.533286772417713939e+00
1.552858581325804177e-01, 5.503110369189144480e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.666816914193623100e+00
1.012030533946881306e-01, 6.080889312820005055e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.773614266098068715e+00
5.987674982689820957e-02, 6.802779655245400070e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.855997787961553458e+00
2.956901472978366169e-02, 7.644853225946844633e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.917793523727388427e+00
8.858784846062773416e-03, 8.655927189344876649e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.963179575933088561e+00
0.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
8.858784846062735252e-03, 1.134407281065512169e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.036820424066911439e+00
2.956901472978383169e-02, 1.235514677405316203e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.082206476272611795e+00
5.987674982689773773e-02, 1.319722034475458994e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.144002212038446320e+00
